.draw,PC1,PC2
52,-0.3870440820943009,4.36661462689473
53,-9.060685171750952,2.1951900021460213
54,-1.8387788286666085,-0.08495412401697747
55,-6.385808698217409,3.424060851800347
56,7.502864631256698,-1.2276714849970096
57,1.3586355101881515,6.328337811586366
58,-5.290943310588419,-0.5020386177842493
59,-3.7966352142362605,2.384629656642122
60,-3.525237954419342,4.5091382555068575
61,-6.822296995421458,-2.974739333981763
62,-3.4015077990254516,1.6836798254948964
63,3.9432589228459567,1.7871352285932176
64,-1.5991498208709822,3.4085334230469457
65,-2.4176736566614103,-0.23179702059379398
66,2.487861429773087,2.3381487381466592
67,2.7109743052295965,-1.0712614395283706
68,2.747280301237198,-1.9449645215901272
69,-4.436131022472123,-2.412003307647012
70,-2.377471110025229,-0.4823330429011663
71,-1.5359644346134391,-0.36577213287601706
72,-4.021834693245661,0.599568193136288
73,-4.466827487890565,1.83046637186436
74,5.9916133173654975,-3.989915968807408
75,0.00350649817819915,-0.1825973968543062
76,4.611280604190643,0.28970333408632887
77,8.988709069875455,2.6143240641472465
78,-3.187825007041156,-9.391580095889596
79,4.343514044862982,0.8757273382255657
80,-3.771256457950423,-5.221574367749714
81,0.9529456423279097,-4.519806030229714
82,3.804978296256633,-2.1469351704199315
83,0.690144712909906,-1.914150602571423
84,3.052165014751621,3.9874154351350737
85,5.770057634996889,0.6094293117410966
86,-5.539029265729738,2.642707885485829
87,0.9633675888458287,4.414139570785021
88,-3.729467886942141,-0.8196003453153868
89,-2.954775129712266,-7.513973236766905
90,-2.5939258199466995,-2.897004880962532
91,-1.9718646565370264,-4.855325361224127
92,-1.5250666828702184,3.586141653812135
93,0.11832990501824173,3.438289068068667
94,-4.641638659744719,-0.2304284131825273
95,-1.0475023197025133,4.849382090607457
96,1.5399943967163185,4.364944246350256
97,-1.6313553297323258,-2.2186391448988663
98,-1.361518010142195,1.4644929154918334
99,-1.5924754338253457,-1.292641394808159
100,-2.9182970795402805,-0.869757220497749
101,-3.4123838614349284,-1.8917826393257484
102,-6.255285706215051,0.7669351097952314
103,-0.7040671693512138,0.3162229563975638
104,-1.0747219802468544,1.8289043434407033
105,-1.5151669422770215,-0.01161057787635864
106,4.3302437454511225,4.035075123070007
107,-7.511664033482028,-1.705822902707488
108,-1.373770369868212,-1.8427047989887724
109,-6.478786206202188,3.9424012716849353
110,3.0739584346560798,-3.126082159055862
111,9.3251182265257,3.9168336905835504
112,4.661084633806299,1.1018793951708155
113,5.690718327303491,0.2755984844896831
114,1.8651535053849846,-6.022392898292174
115,-3.2599942445012107,3.19553048892566
116,9.530334851428089,1.2806394877448413
117,7.289614452235866,-2.5616813349340197
118,3.346665553292636,0.6035817105957162
119,6.109781228205131,1.3410625179655502
120,2.864209918886673,2.6351728815751403
121,-1.8163623084477225,-0.4435377987139577
122,1.2753530039560617,-2.45902786298126
123,4.255984784883586,-5.653701039621678
124,4.193022625807442,3.9989622234250284
125,4.727834379780472,0.04726400924567564
126,-0.09328227035411993,2.2147929572012344
127,-5.124221141871342,3.02284564148834
128,-0.8034192443315902,0.6450862887672103
129,0.9163670299175324,-0.7609660227792929
130,-0.5364484695892341,-5.860353301187223
131,-8.498451731582648,3.325207897575127
132,-2.66943768382801,1.9910956373785196
133,-2.5880876885475765,7.389154702205537
134,3.1251412866090384,2.6003209044385986
135,7.551105225897487,-4.935711864581624
136,0.6523562704435116,1.997242837405699
137,-2.533240498365081,-1.5081849868107342
138,-0.7782418038602275,-1.1603555630589588
139,0.9612621709173788,-4.348447786593072
140,-5.128954094578877,-1.9488348668198487
141,5.617655937862365,3.3611626516689284
142,-7.300333216176865,0.08176618686339865
143,4.9455831070314655,3.1964830105345245
144,0.9452063854862643,2.990355534629635
145,3.1571042058875545,-3.7212684961065405
146,0.9932497655832525,-0.05963464852944102
147,3.888000964452579,1.769285635683517
148,-2.844516010575412,3.1623252930685277
149,3.1365034910708105,-1.9588411207858454
150,0.17219020592887763,3.024261653006147
