"x","y","elevation"
-113.170833212789,37.5125000964992,1810
-113.169999879455,37.5125000964992,1801
-113.169166546122,37.5125000964992,1819
-113.168333212789,37.5125000964992,1859
-113.167499879456,37.5125000964992,1859
-113.166666546122,37.5125000964992,1845
-113.165833212789,37.5125000964992,1873
-113.164999879456,37.5125000964992,1949
-113.164166546122,37.5125000964992,2014
-113.163333212789,37.5125000964992,2063
-113.162499879456,37.5125000964992,2091
-113.161666546123,37.5125000964992,2081
-113.160833212789,37.5125000964992,2074
-113.159999879456,37.5125000964992,2063
-113.159166546123,37.5125000964992,2045
-113.158333212789,37.5125000964992,1996
-113.157499879456,37.5125000964992,2040
-113.156666546123,37.5125000964992,2034
-113.15583321279,37.5125000964992,2004
-113.154999879456,37.5125000964992,2104
-113.154166546123,37.5125000964992,2166
-113.15333321279,37.5125000964992,2230
-113.152499879456,37.5125000964992,2276
-113.151666546123,37.5125000964992,2314
-113.15083321279,37.5125000964992,2313
-113.149999879457,37.5125000964992,2301
-113.149166546123,37.5125000964992,2309
-113.14833321279,37.5125000964992,2333
-113.147499879457,37.5125000964992,2360
-113.146666546124,37.5125000964992,2378
-113.14583321279,37.5125000964992,2385
-113.144999879457,37.5125000964992,2377
-113.144166546124,37.5125000964992,2369
-113.14333321279,37.5125000964992,2358
-113.142499879457,37.5125000964992,2332
-113.141666546124,37.5125000964992,2308
-113.140833212791,37.5125000964992,2278
-113.139999879457,37.5125000964992,2250
-113.139166546124,37.5125000964992,2214
-113.138333212791,37.5125000964992,2188
-113.137499879457,37.5125000964992,2217
-113.136666546124,37.5125000964992,2255
-113.135833212791,37.5125000964992,2290
-113.134999879458,37.5125000964992,2310
-113.134166546124,37.5125000964992,2312
-113.133333212791,37.5125000964992,2305
-113.132499879458,37.5125000964992,2298
-113.131666546125,37.5125000964992,2289
-113.130833212791,37.5125000964992,2277
-113.129999879458,37.5125000964992,2287
-113.129166546125,37.5125000964992,2298
-113.128333212791,37.5125000964992,2310
-113.127499879458,37.5125000964992,2324
-113.126666546125,37.5125000964992,2344
-113.125833212792,37.5125000964992,2370
-113.124999879458,37.5125000964992,2399
-113.124166546125,37.5125000964992,2424
-113.123333212792,37.5125000964992,2448
-113.122499879459,37.5125000964992,2463
-113.121666546125,37.5125000964992,2477
-113.120833212792,37.5125000964992,2500
-113.119999879459,37.5125000964992,2530
-113.119166546125,37.5125000964992,2569
-113.118333212792,37.5125000964992,2602
-113.117499879459,37.5125000964992,2635
-113.116666546126,37.5125000964992,2638
-113.115833212792,37.5125000964992,2635
-113.114999879459,37.5125000964992,2639
-113.114166546126,37.5125000964992,2645
-113.113333212792,37.5125000964992,2666
-113.112499879459,37.5125000964992,2677
-113.111666546126,37.5125000964992,2676
-113.110833212793,37.5125000964992,2668
-113.109999879459,37.5125000964992,2659
-113.109166546126,37.5125000964992,2646
-113.108333212793,37.5125000964992,2638
-113.10749987946,37.5125000964992,2626
-113.106666546126,37.5125000964992,2618
-113.105833212793,37.5125000964992,2609
-113.10499987946,37.5125000964992,2603
-113.104166546126,37.5125000964992,2595
-113.103333212793,37.5125000964992,2591
