factor_id,purity,n_articles,factor_rank,factor_label
24561,0.9104281613342848,181,165,165 | factor 24561
8830,0.9101292343225963,20,166,166 | factor 8830
30482,0.9092930044109941,402,167,167 | factor 30482
23382,0.9088312456935286,124,168,168 | factor 23382
32177,0.9078615474219218,27,169,169 | factor 32177
22713,0.9073005198308693,828,170,170 | factor 22713
24617,0.9061469931404829,36,171,171 | factor 24617
32388,0.9060739962036124,84,172,172 | factor 32388
6115,0.9058381303300544,25,173,173 | factor 6115
1260,0.9056536172436194,59,174,174 | factor 1260
21618,0.9054452684623447,86,175,175 | factor 21618
3617,0.9052838552443301,104,176,176 | factor 3617
685,0.9052129192526084,21,177,177 | factor 685
2490,0.9046597906339711,42,178,178 | factor 2490
25221,0.9037963495305209,105,179,179 | factor 25221
11466,0.9037378663178686,78,180,180 | factor 11466
17174,0.9031863148724512,46,181,181 | factor 17174
16828,0.9031154024745246,532,182,182 | factor 16828
18214,0.9029272777712235,90,183,183 | factor 18214
11121,0.9028059830982683,44,184,184 | factor 11121
19327,0.902592729184456,34,185,185 | factor 19327
1896,0.9024531903103502,953,186,186 | factor 1896
16413,0.9023804599409316,462,187,187 | factor 16413
19224,0.901893789341369,22,188,188 | factor 19224
26062,0.9017280072987793,27,189,189 | factor 26062
28931,0.9016090411428215,472,190,190 | factor 28931
15784,0.901027456797361,257,191,191 | factor 15784
30643,0.9009567181133223,24,192,192 | factor 30643
15066,0.9004370759578004,293,193,193 | factor 15066
4634,0.9001842840823845,53,194,194 | factor 4634
4781,0.9000952008712495,645,195,195 | factor 4781
31439,0.9000760810699446,52,196,196 | factor 31439
24429,0.899750336662515,71,197,197 | factor 24429
32414,0.8997023186387585,70,198,198 | factor 32414
17231,0.898889824083766,111,199,199 | factor 17231
25593,0.8988638791250988,35,200,200 | factor 25593
262,0.8987342479622725,66,201,201 | factor 262
12779,0.8980829876007765,93,202,202 | factor 12779
18568,0.8979996633368056,58,203,203 | factor 18568
21451,0.8976508281089489,406,204,204 | factor 21451
23584,0.8976099119899534,155,205,205 | factor 23584
15134,0.8972083435017801,174,206,206 | factor 15134
25384,0.8969449023263125,53,207,207 | factor 25384
12792,0.8963032378071384,22,208,208 | factor 12792
19803,0.8959770744884471,80,209,209 | factor 19803
687,0.8952605140054302,66,210,210 | factor 687
14103,0.8951703151931844,54,211,211 | factor 14103
11391,0.895140663521521,106,212,212 | factor 11391
6500,0.8950928064545565,24,213,213 | factor 6500
27282,0.8946595737790773,111,214,214 | factor 27282
18375,0.8945241246275495,77,215,215 | factor 18375
15816,0.8941035320692394,24,216,216 | factor 15816
20126,0.8937216223510439,235,217,217 | factor 20126
15435,0.8936539578512851,234,218,218 | factor 15435
185,0.8929766553533425,24,219,219 | factor 185
32045,0.8928338610505911,22,220,220 | factor 32045
31555,0.8923155235122097,65,221,221 | factor 31555
25273,0.8922434906096288,33,222,222 | factor 25273
26937,0.8914024365622467,191,223,223 | factor 26937
5899,0.8911543899232724,171,224,224 | factor 5899
8729,0.8909091016387024,68,225,225 | factor 8729
10015,0.8908059857876829,27,226,226 | factor 10015
3218,0.890625,64,227,227 | factor 3218
15392,0.8905978744743882,77,228,228 | factor 15392
20504,0.8903666899914946,81,229,229 | factor 20504
23689,0.8903493452532428,21,230,230 | factor 23689
23789,0.8901673350119542,35,231,231 | factor 23789
26201,0.8901570010618969,130,232,232 | factor 26201
22175,0.8899177320677726,23,233,233 | factor 22175
27683,0.889877363479033,39,234,234 | factor 27683
7417,0.8896555045016361,22,235,235 | factor 7417
14415,0.8892907298854287,135,236,236 | factor 14415
14993,0.8890130074123271,318,237,237 | factor 14993
3458,0.8890096070082177,33,238,238 | factor 3458
17625,0.8883586798310905,85,239,239 | factor 17625
26637,0.887679889527392,46,240,240 | factor 26637
3685,0.8874561613395733,77,241,241 | factor 3685
24959,0.8869836383544359,24,242,242 | factor 24959
6493,0.8867929514787896,35,243,243 | factor 6493
8857,0.8862272473196791,201,244,244 | factor 8857
1655,0.8859527537822666,29,245,245 | factor 1655
3808,0.8858150401799436,129,246,246 | factor 3808
12160,0.8855296085516465,80,247,247 | factor 12160
17802,0.8853640336411203,21,248,248 | factor 17802
21208,0.8849339969366462,164,249,249 | factor 21208
25594,0.8848087292471318,80,250,250 | factor 25594
28583,0.884628304789454,63,251,251 | factor 28583
4217,0.8838987518537071,82,252,252 | factor 4217
20731,0.8838411771538995,81,253,253 | factor 20731
20011,0.8835429799387795,47,254,254 | factor 20011
3300,0.8827483620948909,222,255,255 | factor 3300
15075,0.8824206905922456,277,256,256 | factor 15075
1219,0.8822252843593319,42,257,257 | factor 1219
16381,0.8819747020390579,74,258,258 | factor 16381
28924,0.8819531108227746,37,259,259 | factor 28924
4636,0.8818377086057936,106,260,260 | factor 4636
15480,0.8812162666492941,707,261,261 | factor 15480
10080,0.8809745258433529,622,262,262 | factor 10080
28867,0.8806813209954109,114,263,263 | factor 28867
25011,0.8795630638084674,54,264,264 | factor 25011
2119,0.8795606715961792,36,265,265 | factor 2119
10263,0.8794262992069161,729,266,266 | factor 10263
20316,0.8792136029047232,94,267,267 | factor 20316
777,0.8776788529404932,111,268,268 | factor 777
22094,0.8776445872959707,40,269,269 | factor 22094
462,0.8775381503259683,232,270,270 | factor 462
30831,0.8770054775147853,65,271,271 | factor 30831
20714,0.8769487869646541,315,272,272 | factor 20714
11423,0.8766109975074166,81,273,273 | factor 11423
15407,0.8766069239515092,85,274,274 | factor 15407
32330,0.8765608863398544,30,275,275 | factor 32330
2893,0.8763463295041481,225,276,276 | factor 2893
6057,0.8763092616640463,71,277,277 | factor 6057
3415,0.8760131040615342,23,278,278 | factor 3415
29799,0.8753500767810868,64,279,279 | factor 29799
26952,0.8753063143016693,105,280,280 | factor 26952
16886,0.8752301095942939,55,281,281 | factor 16886
4248,0.8748654276526289,78,282,282 | factor 4248
18104,0.8743669721800786,41,283,283 | factor 18104
3006,0.8741650640152933,44,284,284 | factor 3006
682,0.8739716865524935,21,285,285 | factor 682
17956,0.8732112695950327,22,286,286 | factor 17956
31320,0.8732061622455757,35,287,287 | factor 31320
1972,0.8730900092022577,21,288,288 | factor 1972
18500,0.8729087899417989,205,289,289 | factor 18500
10654,0.8728468381824884,27,290,290 | factor 10654
11093,0.8728068533191211,352,291,291 | factor 11093
18681,0.8724468694418325,30,292,292 | factor 18681
31635,0.8722008712206487,31,293,293 | factor 31635
8207,0.8721003330312621,33,294,294 | factor 8207
11367,0.8717996234077086,33,295,295 | factor 11367
17048,0.8717905624137435,149,296,296 | factor 17048
26511,0.8714863302949497,91,297,297 | factor 26511
13028,0.8713979960238761,87,298,298 | factor 13028
32031,0.8712184647635991,94,299,299 | factor 32031
16813,0.871167503667705,122,300,300 | factor 16813
25448,0.8708186734642038,182,301,301 | factor 25448
2371,0.8703548541243002,291,302,302 | factor 2371
107,0.8702046798137262,33,303,303 | factor 107
3959,0.8689431952567289,119,304,304 | factor 3959
29769,0.8686491868262424,24,305,305 | factor 29769
15502,0.8686414879258345,105,306,306 | factor 15502
31075,0.8686214949759368,20,307,307 | factor 31075
8188,0.8686008108523958,35,308,308 | factor 8188
20217,0.8681969902026389,24,309,309 | factor 20217
2906,0.8669743518505053,146,310,310 | factor 2906
15254,0.8669460331063289,29,311,311 | factor 15254
29404,0.8669420422336169,80,312,312 | factor 29404
23,0.8668049318177234,131,313,313 | factor 23
3325,0.8665763280714324,54,314,314 | factor 3325
14780,0.8658447438970016,391,315,315 | factor 14780
11993,0.8658184255326478,115,316,316 | factor 11993
13664,0.8657996999113736,100,317,317 | factor 13664
4012,0.8656977163239563,43,318,318 | factor 4012
9042,0.8656476833412973,23,319,319 | factor 9042
26588,0.8649684093431145,1362,320,320 | factor 26588
8170,0.8648489988623759,27,321,321 | factor 8170
8592,0.8647686428059054,549,322,322 | factor 8592
917,0.8645715993614611,81,323,323 | factor 917
25648,0.8644785928750526,739,324,324 | factor 25648
18761,0.863304214117462,47,325,325 | factor 18761
29894,0.8630022325541418,190,326,326 | factor 29894
21056,0.8622178065096607,53,327,327 | factor 21056
23102,0.8621926156261913,81,328,328 | factor 23102
6920,0.86198747449335,249,329,329 | factor 6920
6857,0.8619252589565297,52,330,330 | factor 6857
21079,0.8617512070261575,50,331,331 | factor 21079
13593,0.861720777760449,86,332,332 | factor 13593
18791,0.8617114059363667,22,333,333 | factor 18791
25626,0.8616450385582382,79,334,334 | factor 25626
2874,0.8615998992072365,28,335,335 | factor 2874
1929,0.8614768562370979,94,336,336 | factor 1929
3991,0.8614583451920335,83,337,337 | factor 3991
19973,0.8614326771493266,51,338,338 | factor 19973
