article_id,UMAP1,UMAP2
169,2.0193684592611914,10.02865725205146
170,-2.506451199971902,-3.1782342846611864
171,-1.3922270044915552,2.9049726073523634
172,-0.11954758616613104,-2.5683478768090136
173,2.4614515796072607,2.546206528403389
174,-3.364966104947793,-5.003794377587212
175,-0.6618894070618029,-0.9584328587273485
176,-5.840969274961221,5.18750506088935
177,4.24205141214205,4.654373461463081
178,-3.573145578824746,2.1901085917731398
179,1.9215503230459814,-0.9840989763955004
180,-2.00665337892698,-2.6579734738091356
181,-1.0560802921883936,0.8917465452929609
182,2.998848248995078,-0.7628946955422289
183,0.047294189012778265,1.6747575347205275
184,2.009376336611045,10.112236315466987
185,-4.390783022367227,-5.147091096184624
186,-0.07877490969823553,-2.732026761315239
187,3.3106596961386328,4.64741831467353
188,0.7772934928305273,1.1773191635390394
189,1.753773261583579,-3.039552157662285
190,2.690197755373252,1.3968342487593763
191,-2.9995266899697657,4.4811528270026315
192,-0.9522752568356867,-6.341837113640679
193,-2.656523655378091,-2.1761846001366503
194,0.9769475951559667,0.5432770867725485
195,-1.7343871101968165,-2.281260913155449
196,-5.541911314450967,4.879926974036323
197,3.495056916750205,-0.5087044294098741
198,-0.46511479022430136,-5.9017464573601615
199,-4.709062288724649,4.157064968802558
200,4.78082733300997,5.224764162757026
201,-0.011535118543374079,-4.483429139397515
202,-1.7331011995904322,-6.094300454399956
203,-4.6823794350259185,6.9529569690009225
204,-3.8202850327126856,3.5678542201300734
205,2.0872092738516455,9.0575955455084909
206,0.1206823482878332,0.48361414120398694
207,-2.8486725792519922,-4.218582814476861
208,3.0825334086783056,-2.766478007576836
209,4.880195905245078,5.210562521674262
210,3.7382171645529394,-1.1378387863854296
211,-3.5848299965493555,3.365638787009346
212,3.3408129706747656,3.996545368888008
213,0.14480881837679194,0.5045112092872732
214,-3.0136229500405665,3.1752131526251905
215,-3.2551762566201563,-4.3734566624382865
216,3.0352726474173193,0.14676376626692944
217,-1.8321612581841822,-5.9014250691155326
218,-2.69078845831083,-2.2221533711174852
219,-0.46628246011661245,-8.141518300316704
220,1.2574556365378027,-0.5877764876107103
221,-1.8072483048074122,-5.254502957604302
222,4.603298951662314,0.9883809034606093
223,3.129679729021323,3.934799010016548
224,-2.071971367322671,-2.6832880432824022
225,1.4314129844076757,3.7672067229529493
226,2.5036693110830908,1.4122567121764296
227,-3.543759535276162,-4.060472195885552
228,-0.5400562754132028,-8.16593617751397
229,-1.160307000600564,1.7059916798850172
230,4.916824151552451,0.9483725373526686
231,-1.3283745751016016,-3.8005020077446825
232,-2.966261099302041,2.4273974244376295
233,-0.6119577430419798,-8.752390568993462
234,1.7066295638449316,-0.8300480301598436
235,0.09905957130266474,0.08643888876639538
236,-4.617202471219766,6.699488932349311
237,-4.67018003317045,-4.342991536400689
238,-0.5063296288483019,-4.933102792046441
239,-2.677553127729165,-4.872715657494439
240,3.8602221503622656,3.8118780200263136
241,-4.653216074430215,6.775208288886176
242,-2.803769062482583,2.3791428153296583
243,1.376052428758872,-0.10753804995812244
244,2.083128739870322,8.979796702124702
245,1.9472349181540136,-3.2766322548607714
246,0.2659878626234655,-1.6278178150872118
247,-1.4701202616326685,-5.390993779442681
248,0.43169485477281855,1.118537122466194
249,-3.1858052715890284,3.6907611434241407
250,0.7295378938086157,0.2896168921967619
251,-0.6949509486787195,1.7348096911688917
252,-0.2598576352231379,0.5317777116676443
253,-0.025989900552498835,-2.473622506401909
254,-2.109866212331521,-2.5363559181908495
255,3.2593966021902685,-2.70303482367791
256,-5.018998335324991,4.011730486609565
257,-0.44014774563239767,-1.3849082644204027
258,0.14257018712831782,1.1179415528555983
259,-1.5436307892434473,-4.7029387409905326
260,-5.47109384390043,3.497383171774971
261,0.7689267888434057,0.6833545510550612
262,6.686709691560996,-3.3085658009270555
263,-0.34740586134122564,-6.162893002770318
264,2.1294172301657324,3.032169396140205
265,-3.6211108669869776,2.988209301688301
266,2.3730140223868017,1.2569284384032362
267,-4.170406292402017,-6.967374985955132
268,-0.8327488109700556,1.6961012427588575
269,0.019946445501578314,-0.1245533879021532
270,1.5900304808981542,-0.6658323462227709
271,-4.979528616391885,4.596628481604682
272,3.5216806426413183,-0.5003171022156603
273,0.514124561823142,0.30446937129698926
274,-2.557228754483926,-5.385412400505913
275,-4.047484110318887,-4.099480813286675
276,-2.8228601917855616,-3.6112091000298387
277,-0.4292868033282633,-6.488227074883355
278,-0.3950390175216074,-6.677523797295464
279,3.471110154665244,-1.776159709236992
280,-5.019551466428506,3.7356639449378126
281,2.7375760569937353,3.34119969055854
282,1.674526025331748,-0.10719067408837146
283,-3.209492872678506,0.7296037618895643
284,-5.0705301270120025,4.204783016898261
285,-0.9969646737210627,1.0202153866072767
286,-3.258438061200845,-3.7516319210747606
287,2.6031184687979345,-1.652157252571953
288,3.2254446044333105,-2.643557971260918
289,2.6195769801504736,-1.876881783745659
290,2.6111777320273046,-2.085741942665947
291,-0.4576104536883707,1.3689359967490309
292,2.922096540010703,4.557797247626411
293,0.843737770593894,-0.39212310864723987
294,4.777959157503378,5.082874113776313
295,-2.069756339513528,-2.800200408242119
296,2.2987120643026953,1.9766792599936598
297,-4.639023016416299,-7.6011626179436576
298,-0.8350089296929712,-4.696604436180962
299,-0.13909311147855474,-2.588800137780083
300,1.2949855819113378,-0.59918219401635
301,2.728232432878745,-1.9986628945092089
302,6.880641271150839,5.955672079779731
303,2.5849981799490576,-2.455534880898369
304,-3.0585326656930323,-4.86210841491021
305,1.01440374997927,0.697189996101486
306,-2.0065552696816797,3.286567742087471
307,-4.807161997281778,-7.786513989708794
308,-0.27388073059247686,-1.2345673496941454
309,0.0747117295630102,-2.5906233246544725
310,3.2337987914450292,3.4288006369849318
311,-1.1979254588715906,-2.571656649849785
312,6.891493608034384,5.9696381633063424
313,0.30062328723741816,-0.29258907391823596
314,-0.8733470246426935,-6.532427018425835
315,-3.0153631672494288,-3.960725491783989
316,2.0533001914389257,-1.5670113022545702
317,-3.3834139809243555,-3.997271245262993
318,2.6684656634695654,-2.08836573912896
319,-0.3339353457324381,-0.13771725251473255
320,15.514837075746787,1.3759723846694105
321,-1.6295512423150416,-5.657135670922173
