E3,Magnitude,.draw,PC1,PC2
0.222,-0.013539987827531996,5,-1.5022436418734015,5.126424384497029
0.264,-0.007005746660133736,5,-1.5022436418734015,5.126424384497029
0.297,-0.003681425663897313,5,-1.5022436418734015,5.126424384497029
0.34,-0.0017301292996414102,5,-1.5022436418734015,5.126424384497029
0.487,-0.014005890599784628,5,-1.5022436418734015,5.126424384497029
0.665,-0.06052428623054954,5,-1.5022436418734015,5.126424384497029
0.764,-0.09424285559395001,5,-1.5022436418734015,5.126424384497029
1.023,-0.17105083157714285,5,-1.5022436418734015,5.126424384497029
1.132,-0.18368974890233136,5,-1.5022436418734015,5.126424384497029
1.133,-0.18371975316097572,5,-1.5022436418734015,5.126424384497029
1.342,-0.15628488806419846,5,-1.5022436418734015,5.126424384497029
1.465,-0.11536849630954871,5,-1.5022436418734015,5.126424384497029
1.472,-0.11263731375359216,5,-1.5022436418734015,5.126424384497029
2.086,0.2399724176029187,5,-1.5022436418734015,5.126424384497029
2.367,0.4435433932577909,5,-1.5022436418734015,5.126424384497029
-1.917,1.0139570190352112,6,6.985190517274482,-6.9549301701197175
-1.724,0.5898649506397701,6,6.985190517274482,-6.9549301701197175
-1.426,-0.029367392909151902,6,6.985190517274482,-6.9549301701197175
-1.119,-0.5529772686541298,6,6.985190517274482,-6.9549301701197175
-1.015,-0.6868106541561187,6,6.985190517274482,-6.9549301701197175
-0.935,-0.7702675088422111,6,6.985190517274482,-6.9549301701197175
-0.927,-0.7775941374281288,6,6.985190517274482,-6.9549301701197175
-0.807,-0.8637604331838157,6,6.985190517274482,-6.9549301701197175
-0.803,-0.8658416987968993,6,6.985190517274482,-6.9549301701197175
-0.803,-0.8658416987968993,6,6.985190517274482,-6.9549301701197175
-0.793,-0.870816122035816,6,6.985190517274482,-6.9549301701197175
-0.702,-0.9015579433502569,6,6.985190517274482,-6.9549301701197175
-0.576,-0.9041028697789796,6,6.985190517274482,-6.9549301701197175
-0.455,-0.8679938768951327,6,6.985190517274482,-6.9549301701197175
-0.432,-0.8573175359260943,6,6.985190517274482,-6.9549301701197175
-0.265,-0.7487013272553367,6,6.985190517274482,-6.9549301701197175
-0.262,-0.7463083509045934,6,6.985190517274482,-6.9549301701197175
-0.182,-0.6776126495020586,6,6.985190517274482,-6.9549301701197175
